Train no.,Train name,Starts,Ends
22416,A P Exp,New Delhi,Vishakapatnam
12723,A P Exp,Hyderabad Decan,New Delhi
12724,A P Express,New Delhi,Hyderabad Decan
12707,A P Smprk Krnti,Tirupati,H Nizamuddin
15609,Abadh Assam Exp,New Tinsukia Junction,Darbhanga Junction
15909,Abadh Assam Exp,New Tinsukia Junction,Darbhanga Junction
18242,Abkp Durg Pas E,Ambikapur,Durg
11266,Abkp Jbp Expres,Ambikapur,Jabalpur
54703,Abs Ju Passengr,Abohar,Jodhpur Junction
7509,Adb Qln Spl,Adilabad,Kollam Junction
9427,Adi Ald Special,Ahmedabad Junction,Allahabad Junction
9018,Adi Bct Ac Spl,Ahmedabad Junction,Mumbai Central
14804,Adi Bgkt Expres,Ahmedabad Junction,Bhagat Ki Kothi
4804,Adi Bgkt Spl,Ahmedabad Junction,Bhagat Ki Kothi
9421,Adi Bme Ac Spl,Ahmedabad Junction,Barmer
19130,Adi Brc Intcity,Ahmedabad Junction,Vadodara Junction
2713,Adi Bza Sup Spl,Ahmedabad Junction,Vijayawada Junction
19420,Adi Chennai Exp,Ahmedabad Junction,Chennai Central
9417,Adi Dee Premium,Ahmedabad Junction,Delhi S Rohilla
12931,Adi Double Deck,Mumbai Central,Ahmedabad Junction
12298,Adi Duronto Exp,Pune Junction,Ahmedabad Junction
12267,Adi Duronto Exp,Mumbai Central,Ahmedabad Junction
9425,Adi Jaipur Spl,Ahmedabad Junction,Jaipur
19223,Adi Jat Express,Ahmedabad Junction,Jammu Tawi
9413,Adi Lucknow Spl,Ahmedabad Junction,Lucknow Nr
9420,Adi Majn Sf Spl,Ahmedabad Junction,Mangalore Junction
9411,Adi Patna Spl,Ahmedabad Junction,Patna Junction
18406,Adi Puri Exp,Ahmedabad Junction,Puri
12844,Adi Puri Exp,Ahmedabad Junction,Puri
12958,Adi Sj Rajdhani,New Delhi,Ahmedabad Junction
19415,Adi Svdk Express,Ahmedabad Junction,Shmata V D Ktra
19944,Adi Udz Express,Ahmedabad Mg,Udaipur City
19407,Adi Varanasi Ex,Ahmedabad Junction,Varanasi Junction
16501,Adi Ypr Express,Ahmedabad Junction,Yesvantpur Junction
12547,Af Adi Sf Exp,Agra Fort,Ahmedabad Junction
12195,Af Aii Intercit,Agra Fort,Ajmer Junction
9612,Af Aii Spl,Agra Fort,Ajmer Junction
12036,Af Jp Shatabdi,Agra Fort,Jaipur
15055,Af Rmr Express,Agra Fort,Ramnagar
12954,Ag Kranti Rjdhn,H Nizamuddin,Mumbai Central
12320,Agc Koaa Exp,Agra Cantt,Kolkata
13168,Agc Koaa Exp,Agra Cantt,Kolkata
1436,Agc Pune Spl,Agra Cantt,Pune Junction
12341,Agnibina Expres,Howrah Junction,Asansol Junction
12342,Agnibina Expres,Asansol Junction,Howrah Junction
12548,Agra Super Fast,Ahmedabad Junction,Agra Fort
52575,Agtl Dmr Pass,Agartala,Dharmanagar
22646,Ahilyanagari Ex,Trivandrum Cntl,Indore Junction Bg
22645,Ahilyanagari Ex,Indore Junction Bg,Trivandrum Cntl
11095,Ahimsa Express,Ahmedabad Junction,Pune Junction
11096,Ahimsa Express,Pune Junction,Ahmedabad Junction
16502,Ahmadabad Exp,Yesvantpur Junction,Ahmedabad Junction
59439,Ahmadabad Pass,Mumbai Central,Ahmedabad Junction
